Case_Status,Class_Of_Admission,Decision_Date,Employer_Name,Employer_State,Job_Title,US_Economic_Sector,Wage_Offer,Wage_Offer_Unit
Denied,L-1,10/28/2011,"CALEB BRETT USA, INC.",LA,"Production Inspectors, Testers, Graders, Sorters, Samplers, Weighers",Aerospace,50985,Annually
Denied,Others,12/8/2011,TECHNILEAD INC.,NJ,Technical Writers,IT,51000,Annually
Certified-Expired,H-1B,10/6/2011,KERR CORPORATION,CA,Market Research Analysts,Advanced Mfg,51000,Annually
Certified-Expired,Others,10/27/2011,"ISLAND PACIFIC SUPERMARKETS, INC",CA,Operations Research Analysts,Retail,51230,Annually
Certified-Expired,F-1,10/24/2011,AUBURNDALE DONUT GROUP INVESTMENT LLC,MD,Management Analysts,Hospitality,51293,Annually
Denied,Others,10/24/2011,"SIERRA PACKAGING & CONVERTING, LLC",NV,Industrial-Organizational Psychologists,Advanced Mfg,51771,Annually
Certified-Expired,H-1B,10/6/2011,BRONX-LEBANON SPECIAL CARE CENTER,NY,Occupational Therapists,Health Care,52000,Annually
Certified,H-1B,12/8/2011,TAL INTERNATIONAL CONTAINER CORPORATION,NY,Accountants and Auditors,Finance,52000,Annually
Denied,Others,10/5/2011,LAMONT FRUIT FARM INC,NY,"First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers",Agribusiness,52000,Annually
Certified,H-1B,11/22/2011,CEREBRA CONSULTING INC,PA,Computer Systems Analysts,IT,52000,Annually
Certified-Expired,Others,10/18/2011,PET EMERGENCY CLINICS AND SPECIALTY HOSPITAL,CA,Management Analysts,Other Economic Sector,52000,Annually
Certified-Expired,H-1B,10/25/2011,SOUTH COUNTY KIDNEY AND ENDOCRINE CENTER,CA,Executive Secretaries and Administrative Assistants,Health Care,52000,Annually
Denied,H-1B,12/20/2011,"INTRAEDGE, INC",AZ,Computer Systems Analysts,IT,52000,Annually
Certified,H-1B,12/15/2011,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,AR,"Health Specialties Teachers, Postsecondary",Educational Services,52120,Annually
Certified-Expired,H-1B,10/7/2011,NMB TECHNOLOGIES CORPORATION,CA,Market Research Analysts,Advanced Mfg,52354,Annually
Denied,Others,10/26/2011,ADVANCED CONSTRUCTION TECHNOLOGIES,CA,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,Construction,52395,Annually
Certified-Expired,H-1B,10/20/2011,HAMPDEN CHARTER SCHOOL OF SCIENCE,MA,Accountants and Auditors,Educational Services,52400,Annually
Denied,H-1B,10/26/2011,GLOW NETWORKS INC.,TX,Network and Computer Systems Administrators,Aerospace,52416,Annually
Certified-Expired,H-1B,10/25/2011,"THE FAY SCHOOL, INC.",MA,"Middle School Teachers, Except Special and Vocational Education",Educational Services,52457,Annually
Certified,H-1B,12/16/2011,UNIVERSITY OF UTAH,UT,Atmospheric and Space Scientists,Educational Services,52500,Annually
Certified-Expired,H-1B,10/7/2011,"AUTOMATIC DATA PROCESSING, INC.",PA,Computer Systems Analysts,IT,52728,Annually
Certified,H-1B,11/17/2011,SYMBIOUN TECHNOLOGIES INC,GA,Operations Research Analysts,IT,52811,Annually
Denied,B-1,10/25/2011,"ACTION BUILDING MAINTENANCE & CLEANING NY, INC",NY,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,Other Economic Sector,52957,Annually
Certified-Expired,H-1B,10/20/2011,BOSTON PUBLIC SCHOOLS,MA,"Elementary School Teachers, Except Special Education",Educational Services,52978,Annually
Denied,H-1B,10/25/2011,LEHIGH CONSUMER PRODUCTS CORPORATION,PA,"Wholesale and Retail Buyers, Except Farm Products",Other Economic Sector,53000,Annually
Denied,Others,10/19/2011,CIGLER TRUCKING COMPANY,IN,"Truck Drivers, Heavy and Tractor-Trailer",Transportation,53331,Annually
Certified,B-1,12/13/2011,GRU FINANCIAL CORP,IL,Computer Support Specialists,Finance,53373,Annually
Denied,H-1B,12/7/2011,FORT WORTH INDEPENDENT SCHOOL DISTRICT,TX,"Kindergarten Teachers, Except Special Education",Educational Services,53475,Annually
Certified,H-1B,12/12/2011,J S JEWELERS INC,VA,Jewelers,Advanced Mfg,53581,Annually
Certified-Expired,H-1B,10/21/2011,TOYOTA BOSHOKU AMERICA,KY,"Compensation, Benefits, and Job Analysis Specialists",Automotive,53810,Annually
Certified,H-1B,12/12/2011,ESRI INC.,CA,Computer Support Specialists,IT,53872,Annually
Withdrawn,H-1B,12/30/2011,IK SOLUTIONS INC,DE,Operations Research Analysts,IT,53914,Annually
Certified-Expired,H-1B,10/28/2011,GB TECH INC,DE,Operations Research Analysts,IT,53914,Annually
Certified-Expired,H-1B,10/24/2011,GB TECH INC,DE,Operations Research Analysts,IT,53914,Annually
Denied,H-1B,10/27/2011,KIKKERLAND DESIGN INC.,NY,Commercial and Industrial Designers,Other Economic Sector,53914,Annually
Certified,H-1B,12/14/2011,AMERICAN SOLUTIONS INC,DE,Operations Research Analysts,IT,53914,Annually
Certified,H-1B,12/12/2011,AMERICAN SOLUTIONS INC,DE,Operations Research Analysts,IT,53914,Annually
Denied,H-1B,12/23/2011,AMSOL INC,DE,Operations Research Analysts,IT,53914,Annually
Certified,H-1B,12/15/2011,GLOBAL SYSTEMS LLC,TX,Computer Systems Analysts,IT,54000,Annually
Certified,H-1B,12/12/2011,"REGENCY TEXTILE OF CA, INC",CA,Budget Analysts,Other Economic Sector,54018,Annually
Certified-Expired,H-1B,10/14/2011,"AXIS, INC.",IL,Mechanical Engineers,Aerospace,54038,Annually
Certified,H-1B,12/12/2011,PHYSICAL THERAPY INTERNATIONAL,TX,Occupational Therapists,Health Care,54288,Annually
Certified-Expired,O-1,10/19/2011,SEI-TOMOKO INC.,NY,First-Line Supervisors/Managers of Personal Service Workers,Other Economic Sector,54300,Annually
Certified-Expired,H-1B,10/5/2011,"AECOM TECHNICAL SERVICES, INC.",VA,Landscape Architects,Aerospace,54371,Annually
Certified-Expired,H-1B,10/31/2011,CATHOLIC HEALTHCARE WEST,CA,Medical and Clinical Laboratory Technologists,Health Care,54434,Annually
Certified-Expired,F-1,10/19/2011,RICHARD LIN INSURANCE AGENCY,TX,Database Administrators,Finance,54475,Annually
Denied,H-1B,12/7/2011,FOREVER CREATION INC.,NY,Accountants,Other Economic Sector,54670,Annually
Certified-Expired,H-1B,10/20/2011,YAI/NATIONAL INSTITUTE FOR PEOPLE WITHDISABILITIES,NY,Social and Community Service Managers,Other Economic Sector,54746,Annually
Denied,H-1B,11/9/2011,"BUILD-EZ CONSTRUCTION, INC.",GA,Cost Estimators,Construction,54766,Annually
Denied,H-1B,12/8/2011,"SES GROUP & ASSOCIATES, LLC",MD,Accountants,Aerospace,55000,Annually
Certified,H-1B,12/9/2011,"FOXSEMICON, LLC",CA,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",IT,55000,Annually
Certified-Expired,H-1B,10/3/2011,INDIANA UNIVERSITY,IN,"Education Teachers, Postsecondary",Educational Services,55000,Annually
Certified-Expired,H-1B,10/7/2011,UNIVERSITY OF NEBRASKA MEDICAL CENTER,NE,Instructional Coordinators,Educational Services,55000,Annually
Denied,Others,11/17/2011,"SUNRISE SENIOR LIVING MANAGEMENT, INC.",FL,Food Service Managers,Health Care,55350,Annually
Certified,H-1B,12/9/2011,"ITALICA RISTORANTE, INC DBA CASA D'ANGELO RISTORAN",FL,Chefs and Head Cooks,Hospitality,55952,Annually
Certified-Expired,Others,10/25/2011,CUSTOM NONWOVEN INC.,PA,Mechanical Engineering Technicians,Advanced Mfg,56000,Annually
Certified-Expired,H-1B,10/28/2011,"HP ENTERPRISE SERVICES, LLC",OK,"Computer Software Engineers, Applications",IT,56014,Annually
Certified-Expired,H-1B,11/2/2011,TODAY'S FRESH START CHARTER SCHOOL,CA,"Special Education Teachers, Preschool, Kindergarten, and Elementary School",Educational Services,56122,Annually
Denied,Others,11/1/2011,GEMINI MANUFACTURING CO.,CA,First-Line Supervisors/Managers of Production and Operating Workers,Advanced Mfg,56202,Annually
Denied,H-1B,10/21/2011,CYBER RESOURCE GROUP INC,NJ,"Computer Software Engineers, Applications",IT,56326,Annually
Denied,H-1B,10/28/2011,"AJEL TECHNOLOGIES, INC.",NJ,"Computer Software Engineers, Applications",IT,56326,Annually
Denied,H-1B,12/15/2011,INFOVISION TECHNOLOGIES INC,NJ,"Computer Software Engineers, Applications",IT,56326,Annually
Certified-Expired,Others,10/25/2011,WOONGJIN COWAY USA INC.,CA,Sales Managers,Other Economic Sector,56430,Annually
Denied,Others,12/6/2011,WANG GLOBALNET,CA,Sales Managers,Other Economic Sector,56430,Annually
Certified-Expired,H-1B,10/25/2011,"DIASPARK, INC",NJ,"Computer Software Engineers, Applications",IT,56500,Annually
Certified-Expired,L-1,10/7/2011,MACRONIX AMERICA INC,CA,Market Research Analysts,Advanced Mfg,56639,Annually
Certified-Expired,H-1B,10/13/2011,"CORE EDUCATION AND CONSULTING SOLUTIONS, INC.",NJ,"Computer Software Engineers, Applications",Other Economic Sector,57000,Annually
Denied,H-1B,10/28/2011,ESOLUTECH,OH,Network and Computer Systems Administrators,IT,57000,Annually
Certified,H-1B,12/12/2011,"MICRON TECHNOLOGY, INC.",ID,"Electronics Engineers, Except Computer",Advanced Mfg,57075,Annually
Certified-Expired,Others,10/21/2011,"GLOBAL CONNECT NETWORK, INC.",MD,First-Line Supervisors/Managers of Office and Administrative Support Workers,Other Economic Sector,57075,Annually
Denied,F-1,12/15/2011,RAISMAN CORPORATION,FL,Market Research Analysts,Other Economic Sector,57200,Annually
Certified,H-1B,12/21/2011,SANDIS,CA,Surveyors,Aerospace,57387,Annually
Denied,H-1B,10/27/2011,NTL NAIGAI TRANS LINE (USA) INC.,CA,Accountants,Transportation,57387,Annually
Denied,H-1B,12/9/2011,"RB COMMUNICATIONS,INC",CA,Accountants,IT,57387,Annually
Denied,H-1B,10/5/2011,LIDONNI NURSERY,FL,General and Operations Managers,Other Economic Sector,57600,Annually
Denied,H-1B,12/23/2011,PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS,MD,"Middle School Teachers, Except Special and Vocational Education",Educational Services,57600,Annually
Denied,Others,12/1/2011,EDUCATIONAL DEVELOPMENT CENTER OF GEARA GROUP,VA,"Special Education Teachers, Secondary School",Educational Services,57600,Annually
Denied,H-1B,10/4/2011,KENTUCKY  COMMUNITY AND TECHNICAL COLLEGE SYSTEM (KCTCS),KY,"Biological Science Teachers, Postsecondary",Educational Services,57600,Annually
Denied,Others,10/28/2011,COLICCHIO CONSTRUCTION LLC,NJ,"Painters, Construction and Maintenance",Construction,57616,Annually
Denied,Others,10/28/2011,L.A. PAINTING,NJ,"Painters, Construction and Maintenance",Construction,57616,Annually
Certified-Expired,H-1B,10/20/2011,GLORIA APPAREL INC,NY,Cost Estimators,Other Economic Sector,57678,Annually
Denied,H-1B,10/28/2011,FLUSHING MARKET INC.,NY,Management Analysts,Retail,57782,Annually
Certified,H-1B,11/15/2011,KETTERING UNIVERSITY,MI,"Mathematical Science Teachers, Postsecondary",Educational Services,58000,Annually
Certified,F-1,11/8/2011,KETTERING UNIVERSITY,MI,"Mathematical Science Teachers, Postsecondary",Educational Services,58000,Annually
Certified-Expired,F-1,10/4/2011,WOMEN AGAINST ABUSE,PA,Training and Development Specialists,Other Economic Sector,58074,Annually
Denied,H-1B,10/13/2011,INTELLIGROUP INC.,NJ,Computer Systems Analysts,IT,58157,Annually
Certified-Expired,H-1B,10/20/2011,MCKESSON CORPORATION,CA,Network and Computer Systems Administrators,Other Economic Sector,58240,Annually
Denied,Others,10/19/2011,"PHARMACEUTICS INTERNATIONAL, INCORPORATED",MD,Chemists,Advanced Mfg,58781,Annually
Certified,H-1B,12/6/2011,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",NY,"Computer Software Engineers, Applications",Finance,58802,Annually
Certified,H-1B,12/9/2011,INTERNATIONAL TECHNOLOGIES PRO LLC DBA IQ TECHPROS,TX,Database Administrators,IT,58843,Annually
Certified-Expired,H-1B,10/21/2011,MEDIA DESIGN ASSOCIATES,FL,Operations Research Analysts,Construction,59000,Annually
Denied,H-1B,10/27/2011,"RAJAN MAHIMA ASSOCIATES, INC.",VA,Civil Engineers,Aerospace,59030,Annually
Denied,H-1B,11/17/2011,KANSAS CITY #33 SCHOOL DISTRICT,MO,"Elementary School Teachers, Except Special Education",Educational Services,59034,Annually
Certified,Others,12/7/2011,"MAN MIN, INC",VA,Chefs and Head Cooks,Retail,59114,Annually
Certified-Expired,H-1B,10/24/2011,ASSET ALLOCATION & MANAGMENT COMPANY,IL,Accountants,Finance,59197,Annually
Certified-Expired,O-1,10/21/2011,NAMCO BANDAI GAMES,CA,Multi-Media Artists and Animators,IT,59300,Annually
Denied,H-1B,12/21/2011,SPEECHCYCLE,NY,Network and Computer Systems Administrators,IT,59426,Annually
Certified-Expired,H-1B,10/25/2011,GENESIS REHABILITATION SERVICES,NJ,Occupational Therapists,Health Care,59738,Annually
Certified-Expired,H-1B,11/2/2011,"AT&T, INC., AND ALL OF ITS SUBSIDIARIES AND AFFILIATES",AZ,Electrical Engineers,IT,59757,Annually
Denied,H-1B,10/25/2011,HAKS,CT,Civil Engineers,Aerospace,59904,Annually
Denied,H-1B,12/14/2011,VAPOR BUS INTERNATIONAL,IL,Software Quality Assurance Engineers and Testers,Aerospace,59987,Annually
Withdrawn,H-1B,11/7/2011,VIGNA INC,GA,"Computer Software Engineers, Applications",IT,60000,Annually
Certified,H-1B,11/23/2011,"SOFTWARE SPECIALISTS, INC.",PA,Computer Systems Analysts,IT,60000,Annually
Certified-Expired,H-1B,10/13/2011,BALL STATE UNIVERSITY,IN,"Engineering Teachers, Postsecondary",Educational Services,60000,Annually
Certified,Others,11/10/2011,SPARTON CORPORATION,FL,Mechanical Engineers,Advanced Mfg,60000,Annually
Denied,H-1B,10/24/2011,STANFORD TECHNOLOGY PARTNERS INCORPORATION,AZ,"Computer Software Engineers, Applications",IT,60000,Annually
Withdrawn,H-1B,10/27/2011,"ENTERPRISE INTEGRATION, INC.",VA,"Computer Software Engineers, Applications",IT,60000,Annually
Denied,Others,10/25/2011,"AJ ACOSTA CO., INC.",CA,Excavating and Loading Machine and Dragline Operators,Construction,60050,Annually
Denied,H-1B,10/17/2011,HEWLETT-PACKARD COMPANY,TX,Auditors,Advanced Mfg,60120,Annually
Certified,Others,12/21/2011,"DUCSON IMPORTS, INC.",NY,Executive Secretaries and Administrative Assistants,Other Economic Sector,60133,Annually
Denied,H-1B,11/2/2011,SIMON DEVELOPMENT AND CONSTRUCTION CORP.,DC,Electrical Engineers,Construction,60424,Annually
Certified,H-1B,12/22/2011,ABBOTT LABORATORIES,IL,Mechanical Engineers,Advanced Mfg,61000,Annually
Denied,H-1B,12/15/2011,APEX TECHNOLOGY GROUP INC.,NJ,Computer Systems Analysts,IT,61214,Annually
Certified-Expired,H-1B,10/20/2011,DIAMOND INNOVATIONS,OH,Electrical Engineers,Aerospace,61277,Annually
Certified-Expired,Others,10/25/2011,"LESCHACO, INC",TX,"Transportation, Storage, and Distribution Managers",Transportation,61298,Annually
Certified-Expired,H-1B,10/5/2011,ACNOVATE CORPORATION,CA,Accountants and Auditors,IT,61339,Annually
Certified-Expired,H-1B,10/25/2011,"TRANSUNION INTERACTIVE, INC.,",IL,"Computer Software Engineers, Applications",Finance,61464,Annually
Certified,H-1B,12/9/2011,LAMAR INSTITUTE OF TECHNOLOGY,TX,"Computer Software Engineers, Systems Software",Educational Services,61568,Annually
Denied,L-1,10/27/2011,"INVENSYS SYSTEMS, INC.",CA,Public Relations Specialists,IT,61922,Annually
Certified,H-1B,12/12/2011,SYSTEM SOFT TECHNOLOGIES LLC,FL,Computer Systems Analysts,IT,61984,Annually
Certified-Expired,H-1B,10/4/2011,CHILDREN'S LEARNING CENTER,WY,Chief Executives,Other Economic Sector,62000,Annually
Certified,H-1B,11/21/2011,"QUESTPAY, INC.",NJ,"Computer Software Engineers, Applications",IT,62000,Annually
Certified-Expired,H-1B,10/11/2011,BLEY LLC,IL,"Computer Software Engineers, Applications",Advanced Mfg,62000,Annually
Certified-Expired,H-1B,10/21/2011,RESEARCH IN MOTION CORPORATION (US),GA,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",IT,62000,Annually
Denied,H-1B,10/21/2011,SOFTWARE CATALYSTS LLC,VA,Biomedical Engineers,Other Economic Sector,62000,Annually
Certified,H-1B,12/12/2011,"ABGW, LLC",FL,Food Service Managers,Hospitality,62026,Annually
Denied,H-1B,12/21/2011,GNN CORPORATION,GU,Pharmacists,Retail,62088,Annually
Certified,H-1B,11/30/2011,"GTRAS, INC.",VA,Computer Systems Analysts,IT,62130,Annually
Certified,H-1B,12/30/2011,AUSTIMPACTORS LLC,TX,Mechanical Engineers,Construction,62171,Annually
Certified-Expired,H-1B,10/28/2011,CUMMINS EMISSION SOLUTIONS INC.,WI,Mechanical Engineers,Advanced Mfg,62300,Annually
Denied,H-1B,12/19/2011,"MICRON TECHNOLOGY, INC.",VA,Chemical Engineers,Advanced Mfg,62317,Annually
Certified-Expired,F-1,10/12/2011,"DONG BO,INC.",WA,"Health Diagnosing and Treating Practitioners, All Other",Health Care,62379,Annually
Certified-Expired,L-1,10/28/2011,"EBIX, INC.",TX,"Computer Software Engineers, Applications",IT,62421,Annually
Denied,J-1,10/25/2011,636 LEXINGTON AVENUE RESTAURANT CORP.,NY,Food Service Managers,Hospitality,62525,Annually
Certified-Expired,F-1,10/20/2011,RED,NY,Food Service Managers,Hospitality,62525,Annually
Denied,H-1B,10/27/2011,ANJDEV ENTERPRISES INC,NY,Food Service Managers,Hospitality,62525,Annually
Certified-Expired,H-1B,10/20/2011,"NESS USA, INC.",PA,Computer Systems Analysts,IT,62712,Annually
Certified-Expired,H-1B,11/1/2011,"NESS USA, INC.",PA,Computer Systems Analysts,IT,62712,Annually
Certified,L-1,12/8/2011,"NESS USA, INC.",PA,Computer Systems Analysts,IT,62712,Annually
Denied,H-1B,12/7/2011,"NESS USA, INC.",PA,Computer Systems Analysts,IT,62712,Annually
Certified,H-1B,12/9/2011,"NESS USA, INC.",PA,Computer Systems Analysts,IT,62712,Annually
Certified-Expired,Others,10/24/2011,"MONOGRAM FOOD SOLUTIONS, LLC",VA,Accountants,Advanced Mfg,63000,Annually
Denied,H-1B,11/3/2011,INDU LLC  D/B/A INTIGROW,GA,Network and Computer Systems Administrators,IT,63000,Annually
Denied,H-1B,11/3/2011,INDU LLC  D/B/A INTIGROW,GA,Network and Computer Systems Administrators,IT,63000,Annually
Certified-Expired,H-1B,10/5/2011,NORTH CAROLINA CENTRAL UNIVERSITY,NC,"Criminal Justice and Law Enforcement Teachers, Postsecondary",Educational Services,63000,Annually
Certified,H-1B,12/15/2011,SYMBIOUN TECHNOLOGIES INC,GA,Computer Programmers,IT,63024,Annually
Certified,H-1B,12/9/2011,SYMBIOUN TECHNOLOGIES INC,GA,Computer Programmers,IT,63024,Annually
Certified-Expired,Others,10/21/2011,M-DIS DESIGN GROUP,NY,Executive Secretaries and Administrative Assistants,Other Economic Sector,63211,Annually
Certified-Expired,H-1B,10/20/2011,PPC COMMUNICATIONS INC.,PA,Operations Research Analysts,Other Economic Sector,63398,Annually
Certified-Expired,H-1B,10/24/2011,ISITE TECHNOLOGIES INC,PA,Operations Research Analysts,IT,63398,Annually
Certified-Expired,H-1B,10/20/2011,ISITE TECHNOLOGIES INC,PA,Operations Research Analysts,IT,63398,Annually
Certified,L-1,12/9/2011,TYCO ELECTRONICS CORPORATION,PA,Numerical Tool and Process Control Programmers,Advanced Mfg,63440,Annually
Certified-Expired,L-1,10/21/2011,"IMPERVA, INC",CA,Computer Security Specialists,IT,63669,Annually
Certified-Expired,H-1B,10/21/2011,"QUALCOMM, INC.",CA,"Computer Software Engineers, Systems Software",Advanced Mfg,63680,Annually
Certified-Expired,H-1B,10/3/2011,"AECOM USA, INC.",CA,Civil Engineers,Aerospace,63700,Annually
Certified,H-1B,12/9/2011,PYRAMID CONSULTING INC.,GA,"Computer Software Engineers, Applications",IT,63752,Annually
Certified-Expired,F-1,10/13/2011,"ELLIS & WATTS INTERNATIONAL, LLC",OH,Mechanical Engineers,Advanced Mfg,63773,Annually
Certified,H-1B,11/10/2011,"ARCADIS U.S., INC.",AZ,Mechanical Engineers,Other Economic Sector,63887,Annually
Certified-Expired,H-1B,10/27/2011,"NORTHERN REHAB INC.,",NJ,Occupational Therapists,Health Care,63898,Annually
Certified-Expired,L-1,10/19/2011,HEWLETT-PACKARD COMPANY,TX,"Computer and Information Scientists, Research",Advanced Mfg,63921.7,Annually
Certified,H-1B,12/20/2011,"MICRON TECHNOLOGY, INC.",ID,Electrical Engineers,Advanced Mfg,63960,Annually
Withdrawn,H-1B,12/21/2011,"KOSTAL OF AMERICA, INC.",MI,Computer Hardware Engineers,Automotive,64000,Annually
Denied,H-1B,10/25/2011,SAS WORLD INC D/B/A IC ELECTRONICS,NJ,Sales Managers,Other Economic Sector,64000,Annually
Certified-Expired,H-1B,10/28/2011,CHICAGO FOOD CORP,IL,Graphic Designers,Retail,64064,Annually
Certified,H-1B,12/6/2011,"GLOBAL TECHNOLOGY RESOURCES AND SOLUTIONS, INC",VA,"Computer Software Engineers, Applications",IT,64085,Annually
Denied,Others,12/16/2011,"PRIME COLOR, INC.",GU,General and Operations Managers,Retail,64438,Annually
Denied,H-1B,12/21/2011,"BETHESDA CHEVY CHASE BEER & WINE, LLC",MD,Food Service Managers,Retail,64605,Annually
Certified,H-1B,12/6/2011,"QUALCOMM, INC.",CA,Accountants,Advanced Mfg,64768,Annually
Certified-Expired,Others,10/21/2011,IK SOLUTIONS INC,DE,Operations Research Analysts,IT,64917,Annually
Certified,H-1B,12/5/2011,GB TECH INC,DE,Operations Research Analysts,IT,64917,Annually
Certified-Expired,H-1B,10/21/2011,GB TECH INC,DE,Operations Research Analysts,IT,64917,Annually
Certified-Expired,H-1B,10/21/2011,GB TECH INC,DE,Operations Research Analysts,IT,64917,Annually
Certified,H-1B,12/22/2011,AMERICAN SOLUTIONS INC,DE,Operations Research Analysts,IT,64917,Annually
Certified,H-1B,12/2/2011,"CAS SEVERN, INC.",MD,Accountants,IT,65000,Annually
Certified,H-1B,12/1/2011,CYMA SYSTEMS INC,CT,Computer Systems Analysts,IT,65000,Annually
Certified,H-1B,12/1/2011,HI-FASHION GROUP LLC,NY,Purchasing Managers,Advanced Mfg,65000,Annually
Denied,H-1B,10/26/2011,EQUITY PACKAGING INC.,NJ,Management Analysts,Other Economic Sector,65000,Annually
Withdrawn,H-1B,12/23/2011,VISAM TECHNOLOGIES INC,TX,Database Administrators,IT,65000,Annually
Certified-Expired,H-1B,10/3/2011,HISPANIC BUSINESS SOLUTIONS GROUP LLC,GA,Public Relations Specialists,Other Economic Sector,65000,Annually
Certified-Expired,H-1B,10/20/2011,RESEARCH IN MOTION CORPORATION (US),IL,"Computer Software Engineers, Applications",IT,65000,Annually
Certified-Expired,H-1B,10/19/2011,XIPHOID INC,NY,"Computer Software Engineers, Applications",IT,65000,Annually
Denied,H-1B,12/19/2011,"NU INFO SYSTEMS, INC.",FL,Computer Systems Analysts,IT,65000,Annually
Certified,H-1B,12/23/2011,"BETH MONTESSORI, INC.",CA,"Education Administrators, Preschool and Child Care Center/Program",Other Economic Sector,65032,Annually
Denied,H-1B,10/21/2011,BROADCOM CORPORATION,CA,"Electronics Engineers, Except Computer",Advanced Mfg,65042,Annually
Certified-Expired,H-1B,10/20/2011,"GERICARE MED SUPPLY, INC",TX,Occupational Therapists,Health Care,65146,Annually
Certified,H-1B,11/23/2011,"COMPREHENSIVE BUSINESS ACCOUNTING, INC.",GA,Accountants,Finance,65250,Annually
Certified,H-1B,12/27/2011,ITAPSYS SOFTWARE SOLUTIONS INC.,MI,"Computer Software Engineers, Applications",IT,65354,Annually
Certified,H-1B,12/27/2011,IBM CORPORATION,NY,"Computer Software Engineers, Applications",IT,65374,Annually
Certified,H-1B,12/15/2011,LENMAR CONSULTING INC.,NJ,"Computer Software Engineers, Applications",IT,65374.4,Annually
Denied,H-1B,10/24/2011,VERINON TECHNOLOGY SOLUTIONS LIMITED,IL,Network and Computer Systems Administrators,IT,65603,Annually
Certified-Expired,H-1B,10/27/2011,CAMELOT INTEGRATED SOLUTIONS INC,TX,Computer Systems Analysts,IT,65707,Annually
Withdrawn,H-1B,10/21/2011,"KALVEN TECHNOLOGIES, INC",IL,Computer Systems Analysts,Advanced Mfg,65707,Annually
Denied,H-1B,12/28/2011,GLOBAL IT GROUP INC.,IL,Computer Systems Analysts,IT,65707,Annually
Certified,H-1B,12/15/2011,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,Computer Systems Analysts,Educational Services,65846,Annually
Withdrawn,H-1B,10/14/2011,"TAKEDA PHARMACEUTICALS NORTH AMERICA, INC.",IL,Auditors,Advanced Mfg,66000,Annually
Certified,H-1B,12/5/2011,"LASERTEL, INC.",AZ,Materials Engineers,Aerospace,66040,Annually
Certified-Expired,H-1B,10/26/2011,"FREESCALE SEMICONDUCTOR, INC.",TX,Operations Research Analysts,Advanced Mfg,66140,Annually
Certified,H-1B,11/9/2011,UNIVERSITY OF PUERTO RICO-RIO PIEDRAS CAMPUS,PR,Librarians,Educational Services,66156,Annually
Certified,H-1B,11/9/2011,"AUTOMATIC DATA PROCESSING, INC.",NJ,"Computer Software Engineers, Applications",IT,66280.26,Annually
Certified,H-1B,12/20/2011,BANSAR TECHNOLOGIES INC,TX,Computer Systems Analysts,IT,66310,Annually
Certified,L-1,12/28/2011,SATYAM VENTURE ENGINEERING SERVICES,MI,Mechanical Engineers,Aerospace,66560,Annually
Certified,H-1B,12/9/2011,I-LINK SOLUTIONS INC,VA,"Computer Software Engineers, Applications",IT,66622,Annually
Denied,H-1B,10/24/2011,COMPROBASE INC,VA,"Computer Software Engineers, Applications",IT,66622,Annually
Certified-Expired,H-1B,10/20/2011,"IDEXCEL, INC",VA,"Computer Software Engineers, Applications",IT,66622,Annually
Certified-Expired,H-1B,10/12/2011,TRAVELEX GLOBAL BUSINESS PAYMENTS INC,DC,"Computer Software Engineers, Applications",Finance,66622,Annually
Certified-Expired,H-1B,10/21/2011,"MICRON TECHNOLOGY, INC.",VA,Electrical Engineers,Advanced Mfg,66643,Annually
Denied,H-1B,12/15/2011,"MICRON TECHNOLOGY, INC.",VA,Electrical Engineers,Advanced Mfg,66643,Annually
Certified-Expired,H-1B,10/21/2011,ASPEN SKIING COMPANY,CO,Food Service Managers,Hospitality,66664,Annually
Withdrawn,H-1B,11/7/2011,OMNI MEDICALDIAGNOSTICS PC,RI,Medical and Health Services Managers,Health Care,66955,Annually
Certified-Expired,H-1B,10/25/2011,BECHTEL POWER CORPORATION,MD,Cost Estimators,Aerospace,66960,Annually
Certified,H-1B,12/22/2011,BARD COLLEGE,NY,"Economics Teachers, Postsecondary",Educational Services,67000,Annually
Certified-Expired,H-1B,10/12/2011,UNIVERSITY OF WISCONSIN-MILWAUKEE,WI,"Health Specialties Teachers, Postsecondary",Educational Services,67000,Annually
Denied,Others,12/19/2011,SMART ALABAMA LLC,AL,Financial Managers,Automotive,67100,Annually
Certified-Expired,Others,10/28/2011,"CD PAINTING, LLC.",VA,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,Construction,67101,Annually
Certified,H-1B,11/15/2011,INSTITUTE OF FORENSIC SCIENCE OF PUERTO RICO,PR,Forensic Science Technicians,Health Care,67200,Annually
Withdrawn,H-1B,11/4/2011,"AGILYSYS, INC.",OH,Computer Systems Analysts,Other Economic Sector,67200,Annually
Certified,H-1B,12/9/2011,R.J.VENTURES INC,PA,"Computer Software Engineers, Applications",IT,67267,Annually
